Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18),Value (19),Value (20),Value (21),Value (22),Value (23),Value (24),Value (25),Value (26)
id,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
product_id,5,5,5,6,6,6,7,7,7,7,17,17,17,17,18,18,18,18,18,19,19,19,19,20,20,20
photos,public/images/product/tv_2_002_1669918913.jpg,public/images/product/tv_2_003_1669918913.jpg,public/images/product/tv_2_004_1669918913.jpg,public/images/product/phone_1_002_1669919687.jpg,public/images/product/phone_1_003_1669919687.jpg,public/images/product/phone_1_004_1669919687.jpg,public/images/product/111_1669919880.jpg,public/images/product/222_1669919880.jpg,public/images/product/333_1669919880.jpg,public/images/product/444_1669919880.jpg,public/images/product/tv_3_001_1674490533.jpg,public/images/product/tv_3_002_1674490533.jpg,public/images/product/tv_3_003_1674490533.jpg,public/images/product/tv_3_004_1674490533.jpg,public/images/product/zu_1_001_1674501865.jpg,public/images/product/zu_1_002_1674501865.jpg,public/images/product/zu_1_003_1674501865.jpg,public/images/product/zu_1_004_1674501865.jpg,public/images/product/zu_1_005_1674501865.jpg,public/images/product/tv_4_001_1674502016.jpg,public/images/product/tv_4_002_1674502016.jpg,public/images/product/tv_4_003_1674502016.jpg,public/images/product/tv_4_004_1674502016.jpg,public/images/product/phone_2_001_1674504243.jpg,public/images/product/phone_2_002_1674504243.jpg,public/images/product/phone_2_003_1674504243.jpg
created_at,2022-12-01 20:21:53,2022-12-01 20:21:53,2022-12-01 20:21:53,2022-12-01 20:34:47,2022-12-01 20:34:47,2022-12-01 20:34:47,2022-12-01 20:38:00,2022-12-01 20:38:00,2022-12-01 20:38:00,2022-12-01 20:38:00,2023-01-23 18:15:33,2023-01-23 18:15:33,2023-01-23 18:15:33,2023-01-23 18:15:33,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:26:56,2023-01-23 21:26:56,2023-01-23 21:26:56,2023-01-23 21:26:56,2023-01-23 22:04:03,2023-01-23 22:04:03,2023-01-23 22:04:03
updated_at,2022-12-01 20:21:53,2022-12-01 20:21:53,2022-12-01 20:21:53,2022-12-01 20:34:47,2022-12-01 20:34:47,2022-12-01 20:34:47,2022-12-01 20:38:00,2022-12-01 20:38:00,2022-12-01 20:38:00,2022-12-01 20:38:00,2023-01-23 18:15:33,2023-01-23 18:15:33,2023-01-23 18:15:33,2023-01-23 18:15:33,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:24:25,2023-01-23 21:26:56,2023-01-23 21:26:56,2023-01-23 21:26:56,2023-01-23 21:26:56,2023-01-23 22:04:03,2023-01-23 22:04:03,2023-01-23 22:04:03
